State,State ANSI,Data Item,Value,
MISSISSIPPI,28,Winter Wheat,"12,925,000",
MISSOURI,29,Winter Wheat,"49,400,000",
MONTANA,30,Winter Wheat,"44,550,000",
NEBRASKA,31,Winter Wheat,"59,400,000",
NEVADA,32,Winter Wheat,"900,000",
NEW JERSEY,34,Winter Wheat,"1,995,000",
NEW MEXICO,35,Winter Wheat,"4,200,000",
NEW YORK,36,Winter Wheat,"7,420,000",
NORTH CAROLINA,37,Winter Wheat,"25,000,000",
NORTH DAKOTA,38,Winter Wheat,"5,085,000",
OHIO,39,Winter Wheat,"79,920,000",
OKLAHOMA,40,Winter Wheat,"142,800,000",
OREGON,41,Winter Wheat,"45,260,000",
PENNSYLVANIA,42,Winter Wheat,"10,335,000",
SOUTH CAROLINA,45,Winter Wheat,"9,555,000",
SOUTH DAKOTA,46,Winter Wheat,"53,760,000",
TENNESSEE,47,Winter Wheat,"20,900,000",
TEXAS,48,Winter Wheat,"66,000,000",
UTAH,49,Winter Wheat,"5,800,000",
VIRGINIA,51,Winter Wheat,"12,915,000",
WASHINGTON,53,Winter Wheat,"131,400,000",
WEST VIRGINIA,54,Winter Wheat,"549,000",
WISCONSIN,55,Winter Wheat,"8,370,000",
WYOMING,56,Winter Wheat,"4,080,000",
